title,author,content
sáanii kǫ’ yee da’ałt’eis tł’óo’gi,Michelle Whitstone,"Sáanii tł’óo’gi da’ałt’eis.

Taos’nii’ nídeinikadgo da’ahinél’įį go naazį.

Nah góó ninádaagałgo.

Ba’áłchíní dóó bitsóóké shįį yik’idadéez’įį’go da’ałt’eis.

Amá ídlįį gi ayóo yee danilį.

Bááh ádeił’įį gi nidi ayóo yee danilį.

Doo bidaa’ daadííl góó.

Doo bighádahasdząą góó."
Said the Tobacco to the Hand,Ariana Benson,"Has your master ever made love
without touching—just dust

carried from legs to air to mouth
on wings almost too gossamer

to lift your body. How do I feel
to the touch: your calluses

like pestle, your palm, mortar.
You leave me desflorado. You,

tender guillotine. My white tongues
crumpled like the sheets

of two damp deserters who’ve forsaken
the bed they made for a looming dawn.

How often do you dream of running
yourself along a taut spine

that never labored under a name
not her own. What can you tell me

about the ship, its hollow
gut. What kind of dark

it carries: the sweet flesh of free
-range sky, or bitter entrails

even the buzzards would allow
the heavens to repossess.

When spat up
onto cold, foreign ground,

is it best to put down feeble roots
or to refuse to flower at all."
same word in chickasaw for wolf and coyote,Ibe Liebenberg,"so, my brother nashoba calls me

ofi, the dog

spirit wrong

half wolf, half coyote.

says he would still call me dog

if i was all coyote, even

if mother nashoba made me full wolf

he said i would be wolf artificial.

a stray handful of fur from my neck

in his grip."
Shch’a-wa,Max Early,
Shipwreck Pastoral,Halee Kirkwood,
The Shore of This Day,Arthur Sze,"You walk on a path lined with palm fronds,
and mosquitoes swarm, but no, not yet—
once, before you stepped into a rainforest,
a cloud of mosquitoes rose in the clearing;
when the cloud dissipated, you headed
to a temple where you climbed the steps,
and, reaching the pinnacle, surveying
a canopy of ceiba trees, saw other temples
overrun by vegetation. That night, noises
in the rainforest were raspings on guiros—
you saw mosquitoes swarm a bloated
body floating on a lake; and, in the morning,
when you walked out of that rainforest,
bitten alive, you walked out of a past life.
In the coos of this morning’s white-winged dove,
sounds of howler monkeys reach
the shore of this day: you step onto an island,
walk on a path lined with palm fronds."
Soft Thunder,Jake Skeets,"narrowmouth toads dapple pink sandstone
knee-deep in a brown bowl of brown water

before the croon of limb and wind on weeds
puddles from the pour gather for a morning song

the sun rises from a flatbed load of open palms
: each crease a ripple a leg a half smile

the sun knows best when it rises
: each tide and oak and uplift sung the same

each killdeer and mare and desert bighorn
each I I gorge each I I ravine each I I—



and each part of me is hung out to dry marooned
and wrung of rain, wrung of every I until no I is left
:      soft thunder
ponds in a clearing"
The Song of the Willow Branches,Bai Juyi,"In the spring wind          this tree has

thousand         myriad

branches



tender         gold shoots                   softer


than silk



In this wild          unpeopled          field




who does this willow              belong to?
 Translated from the Chinese"
sound installation,Beth Piatote,"at the sound installation in Toronto
pamc’iyó·x̣o’yo’
we wait to hear
we are waiting with our ears
for the transmutation of birdsong to percussion, for the sound
of piano keys plucked to life
by the call of dying birds

in the sculpture garden
the only shape is sound
we are waiting for the carving of air
made by vibration
but the speakers don’t breathe
except when a chord slips out,
a sigh

’iyó· x̣o’sa
I am waiting
for grief to lift, for a new story
to arrive. The city vibrates with memories
and sounds that were birds are now hammers
on wire. Still

mic’yó·x̣o’six
we are waiting to hear
shorebirds
conscripted to sing their own dirge
on replay, over and over, while the local birds
chatter and play, tossing notes
back and forth                       kíne koná
back and forth                       kíne koná
back and forth                       kíne

taqamic’yó·x̣o’sa
I suddenly hear it, after waiting
I suddenly hear"
That you would be made of rock,Beth Piatote,"It starts with a fight and ends in rock. Coyote turned them into píswe,
Ant and Yellowjacket, though they were fairly warned. Forever in rock
támsoy ka· ’alatálo hold their embrace, anger drawn to surface like sweat—
that’s just how jealousy moves. You see them from Highway 12, and you feel no grief:
these rocks mean home. Stories live in rock. Alive too is your heart, your tim’íne,
moving along the Clearwater. The river your companion, and everything is wá·q’is:

Alive. With Spirit. Animate. Ki wé tes, this land; this pain, this beauty breathes. wá·q’is
is life touching life when I trace the arc of ram’s horn at Buffalo Eddy, memory made in píswe
thousands of years ago. We do not forget. This land is our becoming. Monster’s tim’íne
became rock where he fell, brought down by Coyote, trickster and original rock
star. But not every stone is píswe, nor every story. ’ú·yi·kem is flat rock piled in grief
to cover the graves. Lava rock is your relation who meets you in the sweat

lodge to pray. To purify. All of it is water flowing: tears and song and alloyed sweat,
garlic and booze and betrayal. It speaks through skin. Water dances on rock, hiwaq’iswí·sa:
sweat rocks made of fire. Water hits rock and your body weeps, and grief
flows beyond tears. No refuge when sorrow comes. Thunder shattered píswe,
that’s how he made tipa’x̣líwam. Your life breaks, you too are Split Rock.
Your heart is not made of stone, yet even rocks sunder. Tell this to your tim’íne:

you are stronger than bluff or boulder. More river than rock is our foundation. tim’íne
muscles through. We are never far from Wounded Knee or Alcatraz, our sweat
and song our bond. A Nez Perce inmate escaped The Rock
and received his power from the ocean. That’s waq’í·switki, wá·q’is-
way-of-doing-things. Power becomes medicine. Fire imbues píswe.
We go to The Rock to relive and relieve: songs of loss and hope and grief.

On a fourth grade field trip to Massacre Rocks, we were taught to grieve
for pioneers on the Oregon Trail. Oh to be schooled otherwise! That the tim’íne
of the tiwélqe is as great as land itself, which offers up flint and obsidian for píswe
to flake into knife. I grew up in tewélqem wé:tes, beside the Snake River, happy for sweat
shirts to slip into after a cold swim. The Snake runs through our homelands too; wá·q’is,
despite where it’s been dammed by flat walls of concrete: so·yá·pom/white man’s rock.

Coyote mostly unmade dams. At ’amsáxpa lies his unfinished work, a half row of rock
in a creek. I long for Coyote to unmake the dam at Celilo, to unbury the rock and undo the grief
that has ached our souls since 1957. Celilo is silent but alive: forever wá·q’is.
Some part of my life is underwater. What I would give to hear her voice—my own tim’íne
would I give, to feel the roar of her waters in my blood. No amount of reason or tears or sweat
could stop the destruction. Yet water ever returns. In spring we roast roots on té·mpiswe,

warm cradle of rock in the pit. Mamas rock their babies and words pour from my tim’íne;
this is how we speak, we pray, we grieve. The land births rock and sweat
beads desire. You too are wá·q’is. Hold the vastness in your hand: spirit in blood and píswe."
Upon My Return to Appalachia,Gabriel Dunsmith,"there will be no sorghum in the valleys,
no crawdads or whippoorwills in their hidden places,

nor those stout beams of chestnut lining my grandparents’ fence.
The churches will stand empty by the roadsides,

the blackberry brambles will sag with rotted fruit.
The recipes will be forgotten, the hearth cold.

There will just be the mountains, old and still,
and the sound of someone wailing from the next ridge."
𐓷𐓘𐓧𐓟́𐓺𐓟/Waléze/Stationery,Elise Paschen,
Wavelength // Waveless,Jessica Kim,"Yesterday, eomma called from     halfway     across
the world with news
that she has cancer.
It’s supposed to be a secret,        she whispered
into the phone, her voice quivering like a sparrow—
its earthquake-shaken wings wired         into the telephone buzz.
Earlier, eomma left        for Korea
in search of a new apartment.         Yesterday, she delayed
her flight home by one more month.
In our Californian house, the unwashed spoons
in the left          sink float around
like corpses at sea.
I scavenge for eomma’s silver-soft body
in the pot of abalone porridge,          in the reflections
of rusted silverware, unable to find her thumbprints anywhere.

Eomma says,
the dead will live in the waves of  your palms,
the          hollow         of   your mouth,
but I don’t want her to shrink into low-tide scraps
of flesh that cannot echo my name.
When my brother calls her,
she’s at the hospital waiting for the chemotherapist.
She tells him,      I’m at the beauty salon,
as if cosmetics can     erase     islands of tears
from her face.

——

I grew up by the sea,
witnessing death        after       death
as mackerels perish with the flick of a knife.
At the wet market,
the fishmongers fillet the fish without ever looking down
at their upturned lifelines,         without ever
exhaling psalms of rebirth. Even then, eomma was immune
to decay,          stringing shells into necklaces—
leashes to hold onto bodies
of water.          Water remembers most, she would preach,
her feet baptized in the hush of the waves.
Overhead, planes would wheeze past our heads,
caught in asphyxiation.           Eomma would laugh with eyes
unweathered by age, shouting,
I will never leave my country, my ocean, my daughter,
wrapping me in the briny lyrics of the foaming tides.

Even now, with eomma in Korea,          I ask for comfort
in the waves that have carried her over to America—
waves bleached white with fatigue,           a receding
hairline. How her skin yellows into wallpapers
at the hospital ward.         At night,
I can’t help but stare at the goosebumps on the ceiling
that resemble a sea of faces
disfigured by the gravitational pull of time, of moonless nights.
The nightmares about eomma         metamorphose into
a reality—sweat pooling around her body
in the middle of the night, her face shrinking into medicine pills,
her throat unable to swallow        back her saltwater tears,
stinging and wearing away her skin.

——

In our house, we mention surgery
more frequently than         survival,
unaccustomed to the language of loss.
From halfway across the world,
I hear the rupture in eomma’s voice,
split open like the red sea.          Outside, the sky bloodied
by eomma’s spasms—the sky raining teeth.
For the first time,
I notice death in the negative space behind my body—
and not just in the imaginary universes in my poems.
The mirrors grayed at their corners
and mold bloating into malignant tumors on the bedroom walls.
Day by day, eomma masters the art of falling—
teeth, hair, obsidian tears.          I am yearning for a surgeon
who can stitch back the wounds of this world,
yearning for a miracle
that will never wash up on our shore.
See, only the formless bodies are attracted to the ocean,
the ones wrinkled by imminent death.
In the end, eomma was wrong:
water does not remember,
nor does it          heal.
Water hungers, draining her life out            in metastasis."
we acknowledge ourselves,Allison Akootchook Warden,"before we bring this meeting to order
we want to acknowledge ourselves, the Kaktoviġmiut
yes, Siliun, this is how they are doing things nowadays
we are doing it right

we acknowledge ourselves, the Kaktoviġmiut
we are the people of this island and of the mountains and lands around us
and all our traditional hunting areas

since before the military came
and bulldozed our old sod houses our entire village
so they could make a runway and yes we are still angry about that
and we are still wanting reparations for what they did
they finally did take that hangar down and it

looks better without that big old thing on there
and I know we are still looking for
what was lost in the nuna on that day
what they did was wrong

and we are still here

and even though the military still today has that huge other hangar
on the other side with that
military man
who lives in there that we have
never met
and the other that relieves him every three weeks or so

we were here before
 they put those big humongous radar ears up       
and then took them down   
and yes they left many barrels and still never got all of them
we all want all their residue
to be
off our island forever

we were here before
the government started drawing arbitrary lines
encasing us into this wildlife refuge
without our full knowledge or consent

where strangers break into our cabins on our own land
up in the mountains each and every year
no matter how many signs we put or what kind of locks we use
and because of these borders not our own
we cannot hunt the way
our relatives in other
villages hunt

we have more restrictions and regulations than the others
yet we still are able to get the food we need
around the land we care for and know

ii, we are still fighting these arbitrary borders and lines today, thank you Ekowan
and also thank you aŋaaluk for those letters you put out
they needed to see that

and all of us fighting for our ways of life and as we continue to fight
even in this strange language
we had to learn to fight them with
arii, piliaqsuŋa taniktun uqaġama

we acknowledge our Elders that are still on this land
and our Ancestors                               buried just over there and over there too

and our own people who are still living here
especially the little ones like Uqumaiḷaq here
and all our future relatives yet to be born

we acknowledge and remember
that the military did experiments without our consent
on our Elders when they were kids
and the government has never owned up to these injustices

but we remember what was done

and yes some Elders did get compensated for that radioactive iodine they put in their veins
yet not for the other forced experiments

and we remember how we were also made to send our young people away
to go to school
and how they came back
having to relearn their own language
and many of them left right away again

yet many stayed home
and the others always return
and belong home here

we the Kaktoviġmiut remember how we have always been whole

nakuurugut
we are good we have always been good
living here in the ways taught to us by our Elders
and our Elders’ Elders’ Elders

and even though there were two waves of diseases that we didn’t know
how to fight
naturally
we lost many of our people
yet many of us survived
those waves

and since we are talking about these things in a community hall meeting
might as well mention the alcohol that came to kill us
and the cancers that we can guess where those came from too
and the fog of smoke and qaaq that has stayed and lingered

and I know that we aren’t used to acknowledging ourselves
but when me and Fannie went to the big meeting in Anchorage
they did one of these

land acknowledgments
so apparently everyone is starting to remember

and we remember too
how to acknowledge one another
and how we remember our relatives and how we are related
we remember how to sing and dance and how to take care of
the land

because we need to acknowledge our young people too
even the ones who are pretending they don’t understand
or can’t talk yet
we know you are paying attention

yet we also want to say the young ones have also been having a lack of
listening
and they need to fix that right now

oh and of course
our relationship to the animals
the aġviq, the tuttu, the fish, the nanuk, the qavvik
oh yes and the aiviq and the beluga whale
and I know I am forgetting some animals thank you Ukpik

and we were here before the tourists started to travel here to see our
polar bears
without giving back to our community
and yes we are starting to regulate those tourists too
as a community
working together

yes the amaġuq and I know we have too many animals to mention right now
and we need to get started with these door prizes soon
yet let me say one more time
because I see that Michael just came in the door

we the Kaktoviġmiut acknowledge ourselves
sovereign here on our own land
sovereign here forevermore

despite all of these other ways
in which they thought they could make us forget
or think we were broken

we are whole and good and we remember all of it
an unbroken line
going all the way
all the way
all the way
back

from the time before the time before
nakuurugut
we are the Kaktoviġmiut, the original people of this place
we have never ceded our lands
we always remember our long long long ago ways

that we are living even today and even though we are thankful for many
modern tools
that we put to use in the ways that our Elders agree with
the outsiders’ ways are not our ways
we belong here
and on our mountains and all the places near that we travel for food
and on the ocean

we remember who we are

today and forevermore
we acknowledge ourselves
in our power as Iñupiaq
aulayaiqsimarugut Kaktoviġmiut
tavra!

now Alasuuraq will draw the first prize because I believe he is our oldest
Elder here
we will draw a couple few more door prizes
now at the start
and then the rest at the end of the meeting
I know we have a lot to talk about"
A White Man in the Audience Said I Owed Him,Krysten Hill,"not because I was a Black woman, but because I was a poet
and he was a reader, and he needed me to explain

how some things are inseparable. My great-grandmother
nourished her family on a love she tended

on land she didn’t own. Some things grew inside of her,
and some refused to. Her life was meant to pay a debt.

Here I was in a room, trying to clarify what could make scars
timeless, sealed mouths floating across generations.

Someone is always trying me when they get offended,
putting their fingers in my truth to examine the quality of my teeth.

My great-grandmother never said a lot with her mouth. I should’ve paid
more attention when she gave her words away.

She carried a debt that meant you earned her laughter,
would turn away, humming gospel at the hint of a stupid question.

When generous, she gave a look that told a lesson,
taught me how to read the world in what goes unsaid.

There has to be something I don’t owe anyone.
I’m glad there are stories that died with her."
Women are cooking outside over the fire,Michelle Whitstone,"Women are cooking outside.

They are slapping the dough around and gazing at each other.

They look around every now and then.

They are probably watching their children and grandchildren, as they cook.

They are talented mothers.

Even their breadmaking is done with great care.

Their tortillas don’t have big lips.

Their tortillas don’t even have holes in them.
 Translated  by the author from the Navajo"
Scarf,Rita Dove,"Whoever claims beauty
lies in the eye
of the beholder

has forgotten the music
silk makes settling
across a bared

neck: skin never touched
so gently except
by a child

or a lover."
The Peach,Alice Friman,"I stood on a corner eating a peach,
the juice running down my arm.
A corner in Pergos where he left me,
Pergos where I could catch a bus.
What was I supposed to do now
alone, my hands sticky with it
standing on the corner where he
left me a Greek peach, big as a softball,
big as an orange from Spain, but it
wasn’t from Spain, but from Pergos,
where I could see his red truck
disappear around a corner, not
my corner but further up the street,
and only later, months later, back
home when the trees were slick
with ice, their topmost branches
shiny as swords stabbing the heart
out of the sky, the earth chilled under
snowdrifts or as we tend to say, sleeping.
But I don’t know, frozen maybe, numb?"
Fairy Tale,Amorak Huey,"My father cuts off his thumb with a circular saw.
A tiny magical man makes me an offer.

I cannot refuse. My father’s thumb grows back.
The price I have agreed to pay is too great;

I cannot bear to say its name aloud. In the corner
of every room I enter, the tiny magical man

crouches, nameless and cruel. Not today, he says.
Not today. One day, I will enter a room and he will

not be there, and I will know the bill has come due.
A phone will ring. I will answer. A stranger’s voice

will mispronounce my name, apologize,
hesitate. In this brief silence, foolish hope will bloom."
Doing the Bills,Lee Upton,"My father impaling bills
on a nail on a block of wood
then putting his head in his hands
and you with your head in your hands
and my head in my hands
hands over my eyes
and I see again what I forgot for decades
my father
after doing the bills
crumbling bread in a bowl
and pouring milk over the bread
and spooning in sugar."
"Portrait of Pink, or Blush",Adrienne Christian,"when today at a bistro
an elderly couple in jeans, leather
bomber jackets, and heeled boots
stepped down from their stools
to stand and go home—

him behind her,
his bomber jacket zipper
a spine at her back,
him wrapping on her scarf

the heart-shaped cookie she nibbled
the shape of her mouth,
that cookie, puffy,
with still-soft icing white and rose—

I learned
the anthropology of blush"
دستخط,Fatemeh Shams,
balance,Orlando White,"hózhǫ = positive
hóchxǫ = negative"
Black Woman Selling Her Home in America,Patricia Jabbeh Wesley,"After the show, I can reenter my home
and take myself  back.
From room to room, I examine my home
to see if the possible buyers
did not take a piece of shredded
carpet with them, did not pull down a window blind,
and yes, the television is still standing.

But through the box walls, I feel their fingernails
rising out of the corners of my rooms,
their presence, these strangers, these spies,
these unknown people who have walked
through my home,
have touched my private places in my home,
done this abominable thing of touring

my bedroom, my sleeping place, where at night
I revisit my ancestors
over and over. My bedroom, where I can steal
away at night and meet
my mother in the other world.
In my country, you do not sell your home.
You do not sell your home to strangers.

You do not move away so others can possess
your possessions. You plant feet
and umbilical cords deep. I have been
selling my home for a year now.
I have been selling myself for years now,
and my possible buyers do not seem to see
the house they cannot see.

Sometimes I wish my home was not as black
as me, that the skin
of my aluminum sidings were not gray
or black like me. After the show,
I come back home, walking like a broken
woman. I walk in fearfully,
letting myself into my own home

in small particles of dust. I walk in like
you walk into a haunted house,
holding onto foot and arm. Sometimes, I can
see their large eyes, these buyers, who
walk in with ugly coats, who come in,
their prying eyes, afraid something may spring
at them when they finally move into my home."
Bodhisattvas at the Beach in November,Monica Sok,"You can bring half that Gouda in your fridge if you want.

I’ll bring a persimmon, my cutting board, and knife.

But first golden chrysanthemums at the farmers market, cut at the stem
and wrapped in butcher paper.

What about this olive bread—Oh yes, get this olive bread. Cash only.
Do you have cash? All right, fine. I have cash.

On 580 toward San Francisco, we talk about the imbecile men
who have rejected us lately.

Sister, sex is nothing to be embarrassed about.

Sister, the more  you tell me about him the less I like him.

Hold my hand as we descend this hill of sand and hidden rocks.

Bodhisattvas at the beach are each other’s bitches but not everybody’s,
though we vow to return many lifetimes
until not one being is suffering, not even one blade of grass.

Let’s lay the mat somewhere—you pick a spot—and drink margaritas.

You change from hiking boots into sandals and bare feet.
I still have on my socks. Bitches don’t get cold.

1 sliced apple, 4 dates, 2 mandarins, a few square coconut crackers—
the kind that comes stale,
the kind my mom buys and leaves in my cupboard.

I  feel really bad for your mom. I mean ... I  feel really bad for my mom too!

A white dog walks up to us. A black dog sits next to our shoes.
They go when their owners call them back.

Next time I want a basket to bring to the beach. What kind of basket?
A wicker basket with a lid.

Oh and a separate basket for the wine bottle and wine glasses.
I want a basket for fruit. I want that too.

You and I with separate lighters burn incense sticks,
our bodies huddling over the flames
to keep them going against November wind.

I’m done praying before you’re done praying.

Bitch, I’m envious that you’re still praying.

As you chant to yourself quietly, as the scent of sandalwood snakes toward us,
I lie down watching two tiny crustaceans from wet sand
skip onto the mat.

What is your purpose? Do you mean my purpose in life ? I’m a bodhisattva.
I am too. I know.

I’m not here to change anybody. Or tell anybody what’s best for them.

I know why the sun is out today. Because yesterday it rained.

Are you sure you want to wear boots? Instead of your sandals?
I’m rolling up my pants to walk to the water.
Whatever we try to prevent from happening, will happen.

The tide rushes toward us. It knows we are here.

Now my pants are wet up to my calves
and your boots are completely soaked,
but the chrysanthemums are floating in the ocean.

Our small offering.

I love you. I love you too.

Let me put on my socks and sneakers to climb the steep hill with you,
huffing and puffing, and not without laughter.

I’m getting better at accepting myself and others and the way things are.

Look at the sunset beyond the pink ice plants. Yes, I see.

Look at this spray-painted bench high off the ground. It has character.
If you say so. Character.

The air smells like basil. Or mint. I told you this in the beginning
when we first got here. It’s eucalyptus.

I can’t remember the last time I held someone’s hand. Bitch, it was me.
In January. Before lockdown.

It seemed like a lifetime ago. It was many lifetimes ago."
Bubu the Bunny,Qiang Meng,"My girlfriend adopts a rabbit,
and we name him Bubu Dostoevsky Luo.
Luo is my girlfriend’s last name.
Luo bu means radish in Chinese.
Dostoevsky is a writer I like.

Bubu never writes in the first month,
although his modest nose twitching
implies a burning interest in language.

My girlfriend and I speak Chinese at home
but feel obliged to rethink this practice
like every immigrant household:

She points out that Bubu
is an American bunny,
and he needs to fit into society.

Poor Bubu. Will he grow up ignorant of the story
behind the Mooncake Festival,
meaning of his own name,
locations of Beijing and Shanghai—
which one is farther north?
And Guangzhou, Wuhan, Chengdu
where people cook (Bubu should be aware!)
spicy marinated rabbit heads.

Do we take Bubu to church on Sunday?
Wedding ceremony sans fresh longans,
grave adorned with a cute wood cross?

Other bunnies carrying Easter egg baskets
may ask Bubu to talk about his family.
What will they call Bubu in his absence?
How does Bubu see himself?

In the long 21st century, Bubu may meet
some communist bunny from China.
Will Bubu return her accented greeting
with a perplexed smile,
or will they sniff and pass each other—
a fluffy moon at its perigee?

Yes, Bubu is born so American
he can easily run for president.
Thank God he hasn’t expressed a zeal
for proposing tax reforms
or deporting Russian spies.

Bubu munches orchard hay.
From behind I see a fierce typist at work.
The paper balls he throws away
hang in the sky as crumpled clouds.

Or is Bubu an underground radio operator,
who keeps sending the Morse code of wonder
(now his antennae ears are up)
to somewhere far, far away?

No matter which language Bubu the bunny
adopts to write his early oeuvre,
we will always love him, support him, and make sure
he doesn’t travel alone to Chengdu."
Claws of the Sea,Madeleine Wattenberg,
Dream of Low Houses,Max Schleicher,"I was there; and the river
was there everywhere;
in the glue
of dead leaves and dew stuck to its shores;
in the cracked cement sides;
in the old valley walls
widened by quarries that are gone now
and quarrymen that are gone now too;
in the roads;
in the snail tracks;
in the accumulations
of stringed earplugs; in curbside cigarettes
left from graveyard shifts;
in low houses with plastic
on front windows
to seal themselves from foundry dust;
in the explosion at Falk
Corporation that dented the fire station door
a mile and a half away;
in the fish
flat as butter knives that die gasping
after following big ships
from north on the Lake,
(dying
they are not used to the warmth
of the harbor);
in the coyote that limps in the quarry carveout
to sun himself on Christmas morning;
in the fox that eats the birds that die
frozen to the Lake in a snap; and in the light
that seems to change monthly
though I know it never
changes in that way.

I was there
with a friend
at the Protestant shelter
that gave us food for believing
we were not to blame for the state of our lives
and for accepting the state of  Lord  Jesus Christ
as we prayed and slept in a dormitory with 20
bunks full of men flatulent or masturbating
and I saw the invisible heart of  Jesus Christ
like a  jellyfish it stung me
like ticks I had it
in the seams of my jeans
like an arrowhead it dug into the flesh above
my ankle. And I told Jesus, listen, if you come by me
use the side door or the back, never the front,
the side or the back is for family."
The End of Crisis,Cindy Juyoung Ok,"When you leap over the deer carcasses
that line every garden, you will marvel
at their tidiness, at how bloodless a death
by drought can be. When I crawl through
the highway pieces shattered by heat,
I will admire the clean slits as I kick
aside crumbles of broken stone with little
blistering. When you thread between
the overtaken shores and bodies of elders,
frozen, when I follow the fallen saplings’
directions toward the horizon where
colorless sky and earth meet, we will
remember rippling at the birthday parties
for corporations and framing the ash
of beloved photos burnt in wildfire. When
we think of crossing the river to each
other, you from the gorge of the landslide
to me at the crest of the typhoon, it is then
we will find ourselves in a dead imaginary,
in some fictive past where the  you exists,
where I   is not a myth we use to keep
surviving at the cost of bird and glacier,
home and tenderness. Having ruined
the future of  becoming fossils, finally
we will know that it is for nothing we
die, never in place of drowned sea
turtles or swarming locusts, or to foil
cancerous sand and mold, not even for
the dance of subway floods or the graceless
eclipse of all our promises and planets."
Escenografía etimológica,Shook,"




Dicen que lo que se valora
se nombra.

Y el acto de nombrar suele ser,
si no la primera, la primordial de las violencias.

Dicen que lo que se quiere hallar
se cartografia.

✷
Y ni hay que decir que lo contrario también es verdad.       ✷








Dicen que el nombre de Texas viene del idioma hasinai:
de la palabra táysha’, que significa ‘amigo’.
  
 
 Dicen que se usaba como un saludo entre amigos.
  
 
 Y los hasinai fueron expulsados del estado de Texas en 1859.
  
 
 Y de las bocas que saludan táysha’                                      
hoy quedan veinticinco.                                                     
  
 
 ✷









Dicen que la Patrulla Fronteriza de los Estados Unidos registró más muertes de
migrantes en el año fiscal 2021 que en cualquier otro año con registro.

Y de los estados fronterizos en el sur de este país, no hay ninguno que
mantiene una bitácora comprehensiva de los fallecidos.

Y en sólo uno de los cuatro
hay quienes se dedican
a la cartografía de los olvidados.









✷                                    
Dicen que el nombre de Nuevo México fue declarado por primera vez el 12 de
julio del año 1598, en la confluencia de los ríos Bravo y Chama.
  
 
 Dicen que su declarante, Juan de Oñate y Salazar, esperaba encontrar otras
riquezas —las riquezas de otros— , superiores a las de los mexica al sur.
  
 
 Y un año después, sus soldados demandaron de los acoma los          
 
suministros necesarios para sobrevivir el invierno.                          
 
Y cuando resistieron porque acceder sería aceptar su propia             
 
muerte, Oñate decretó la matanza de 800 de los acoma, la             
 
esclavitud de los 500 mujeres y niños restantes y la amputación del  
 
pie derecho de los 80 hombres sobrevivientes.                                  
  
 
 Dicen que el antí lope herido caminará sin cesar hasta caerse en la arena.
  
 
 Y en 1997, en la ciudad de Alcalde, a Oñate los Amigos de Acoma. 
 
le amputaron un pie de bronce, adornado aún con espolón y estribo.






Dicen que el nombre de Arizona viene del idioma o’odham:
de la frase alĭ ṣonak, que significa ‘fuente pequeña’.

Y casi la mitad de los restos esparcidos por la inmensa barrera del
desierto se encuentran en el territorio de la Nación Tohono O’odham.

Dicen que originalmente se refirió a la región de Bolas de Plata, breve orgullo
de los españoles ✷  durante la primera mitad del siglo XVIII, hoy en día
unos cuantos kilómetros al sur de la frontera.

Y la mayoría de sus muertes son a causa de exposición a la intemperie,
cansancio y falta de agua potable.

Dicen que es una estrategia oficial empujar migrantes hacía los territorios
más implacable.

Y a los agentes se les enseña pisotear las provisiones de agua
proporcionadas en aquellos lugares por los voluntarios.
✷                                                                                                                     ✷
         ✷
✷








Dicen que el nombre de California viene del árabe:
    .خلیفھ 
Dicen que nos llegó por medio de un poeta, Garci Rodríguez de Montalvo, que
en el siglo XVI acuño un variante de la palabra halīfah para nombrar a una isla
que inventó en una de sus novelas:
  
 
  Sabed que ala diestra mano de las Indias ouo una Isla llamada California   
 
mucho llegada ala parte ✷del paraiso terrenal la qual sue poblada de              
 
mugeres negras sin que algun varó entre ellas ouiesse: que casi como las          
 
amazonas ...                                                                                             
  
 
 Dicen que los españoles, al verla por primera vez, pensaron que la peninsula de
Baja California era una isla rebosante de riquezas e infieles.
  
 
 Y aunque no es isla, aún se ahogan los niños que intentan cruzar el surco    
 
    ✷   hambriento que la divide en dos.                                                              
✷                                                                                                                         ✷
 
✷                                                                            
 
✷








Dicen que es el cuerpo de agua más peligroso en todo el país:

The All-American Canal.

Dicen que ni un nadador olímpico podría ganarle a la corriente.

Y el canal es un cementerio
demasiado efímero para cartografiar.

Y en la fosa común del condado de Imperial,
cientos de ladrillos conmemoran

sus peregrinos vencidos,
cada Doe un dominó caído,

cada sueño enterrado
un astro extinguido,

el cielo reseco del desierto
su único testigo.               ✷                                                   ✷
✷                                          ✷
✷"
Flyway,Romeo Oriogun,"There is no light that holds the dead
in beauty like the light before nightfall,
that evening abundance of grace
luring the wild geese to stop on their way
to Mexico, bringing all that is gone
into a moment of homecoming.
I had walked through it once.
It was December, the cold was beginning,
and here in Ames, Africans at the crossroad
of life, refugees and migrants, were getting
ready to meet at a makeshift bar assembled
in a basement and named after a famous donkey
in Khartoum, so they said, where the rhumba
would wild out of speakers and we would seek
what those at crossroads seek: touch and joy,
sight and the safety of bodies. I had taken
my time before getting on the bus heading
to the bar. Walking down Coconino,
the dogs were out, blades of grass faded,
man-made lakes were filled with geese like airports
on water. Even in the midst of so much beauty
there is no place that will save us. Our destination
is between suffering and joy, everything else is a road
filled with unending patience. And even I, a nomad,
who has witnessed so much of the world,
will be forgotten before I reach the veranda
of my homeland, and yet as I watched the last light
of evening, waiting for the bus, I saw them, the dead,
descending on wings, joining the birds to play
in water like little children, laughing into joy,
and then they were gone. All that was left
was the only freedom we could speak without shame,
the weather, winter, the harmony of all things."
